path,name,category,status,description,classes,functions,lines,size_bytes,modified,author,todo_count
cognition/src/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Cognition Package * * Core cognitive capabilities including reasoning, internal dialogue, * creative problem solving, conversation management, reflection, * context optimization, and self-modeling. * * @author @darianrosebrook",,,171,4746,2026-02-04T23:32:13.414538,@darianrosebrook,0
cognition/src/intero-history.ts,intero-history.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides a ring buffer for timestamped intero snapshots used by the cognition module to persist and retrieve the bot's recent emotional and stress state changes.,,"appendLine, recordInteroSnapshot, getInteroHistory, loadInteroHistory, getInteroHistorySummary",155,4397,2026-02-04T10:13:37.887892,@darianrosebrook,0
cognition/src/interoception-store.ts,interoception-store.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides an in-memory store for the bot's interoceptive state, calculating a weighted composite stress score from six axes such as healthHunger, resource, and locationDistance, ensuring values remain clamped between 0 and 100. Manages current focus and curiosity levels for the cognitive stream. Supplies the computed stress and emotional state to higher-level reasoning in the cognition module.",,"clamp, computeComposite, makeDefaultState, getInteroState, setStressAxis",220,6489,2026-02-01T03:03:40.464383,@darianrosebrook,0
cognition/src/intrusion-interface/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,* Intrusion Interface Module * * Exports for the intrusion interface system that handles external suggestions * with robust filtering and evaluation mechanisms. * * @author @darianrosebrook,,,41,951,2025-08-23T17:46:29.181653,@darianrosebrook,0
cognition/src/intrusion-interface/intrusion-interface.ts,intrusion-interface.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"input and validate external suggestions, parsing and classifying their content for risk assessment, then routing decisions through the cognitive pipeline for the conscious-bot's intrusion handling system.",IntrusionInterface,,667,18730,2025-08-23T17:46:29.181831,@darianrosebrook,0
cognition/src/intrusion-interface/intrusion-parser.ts,intrusion-parser.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"Input and parses raw intrusion content into a structured format for the cognitive stream. Extracts intent, urgency, and context while applying configuration settings. Returns parsed result with confidence score and optional warnings for error handling.",IntrusionParser,,380,10455,2025-08-23T17:46:29.182044,@darianrosebrook,0
cognition/src/intrusion-interface/taxonomy-classifier.ts,taxonomy-classifier.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"classification results are retrieved or computed from intrusion content using LLM-based intent analysis and configured taxonomies, assigning risk levels and content types for filtering decisions. The class integrates LLM reasoning with static or dynamic taxonomies to evaluate and categorize incoming intrusion messages. Caching improves performance for recurring content types.",TaxonomyClassifier,,427,12637,2025-08-23T17:46:29.182230,@darianrosebrook,0
cognition/src/intrusion-interface/types.ts,types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"commented as types that structure external intrusion inputs for robust filtering, risk analysis, and decision making within the conscious-bot cognition module.",,,288,6749,2025-08-23T17:46:29.182396,@darianrosebrook,0
cognition/src/intrusive-thought-processor.ts,intrusive-thought-processor.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements the conversion of intrusive thoughts into structured Task objects that the planning module uses to drive bot behavior, assigning actions, priorities, and confidence levels. Ensures each task retains a traceable thought origin and is formatted for the bot's decision-making pipeline. Facilitates the integration of user-generated intrusive thoughts into actionable plans with debug support.","PlanningMCPClient, IntrusiveThoughtProcessor","buildResponseDebug, makeRequestId",1432,40069,2026-02-05T00:17:32.616527,@darianrosebrook,0
cognition/src/keep-alive/event-types.ts,event-types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements keep-alive event types for tracking system health and activity within the cognitive stream. Defines standardized payload schemas for tick, thought, and status events.",,"createTickEvent, createThoughtEvent, createSkipNotIdleEvent, createViolationEvent",208,6075,2026-02-03T05:10:32.100896,@darianrosebrook,0
cognition/src/keep-alive/idle-detector.ts,idle-detector.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements idle detection for the keep-alive gate in the cognitive module of conscious-bot. Evaluates the current state to determine if the bot is idle by checking active plans, task conversions, threat level, and user command presence.",,"detectIdle, buildIdleContext, estimateThreatLevel",187,5902,2026-02-03T05:01:53.485300,,0
cognition/src/keep-alive/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,* Keep-Alive Module — Main Entry Point * * Provides the keep-alive intention check loop for allowing * (but not compelling) goal emission during idle periods. * * @author @darianrosebrook,,,73,1558,2026-02-03T05:03:05.448711,@darianrosebrook,0
cognition/src/keep-alive/intention-check-prompt.ts,intention-check-prompt.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"a non-injective intention check prompt that presents the current situation without suggesting actions, prompting the model to optionally declare its intent using the [GOAL: <action> <target>] format when appropriate",,"renderIntentionCheckPrompt, getIntentionCheckVariants, validateNonInjectivePrompt",163,5463,2026-02-03T06:24:16.997280,,0
cognition/src/keep-alive/keep-alive-controller.ts,keep-alive-controller.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides an idle detection pathway for the cognition module to decide when the LF-4 reasoning surface should be prompted for new goals. Implements a strict invariant that never injects goals, only presents facts and waits for model initiative. Controls the flow by emitting KeepAliveEvents only when goals are present.",KeepAliveController,,617,18680,2026-02-04T23:32:13.415276,,0
cognition/src/language-io/envelope-builder.ts,envelope-builder.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,context for constructing LanguageIOEnvelopeV1 from raw LLM output with optional metadata,,"buildLanguageIOEnvelope, computeEnvelopeId, verifyEnvelopeId",114,3868,2026-02-03T18:34:31.417612,@darianrosebrook,0
cognition/src/language-io/envelope-types.ts,envelope-types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides type definitions for SanitizationFlags used in the conscious-bot cognition module to track modifications applied to user input during text processing.,,createDefaultSanitizationFlags,128,4502,2026-02-03T18:33:47.731319,@darianrosebrook,0
cognition/src/language-io/execution-gate.ts,execution-gate.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Execution gate for task conversion. * * This module provides the SINGLE choke point for deciding if a * reducer result can be converted to a task. * * Key invariant: Uses is_executable ONLY, not advisory presence or confidence. * Advisory is for routing hints, NOT execution authority. * * @author @darianrosebrook",ExecutionGateError,"canConvertToTask, requireExecutable, getExecutionBlockReason, isSemanticEmpty",106,3318,2026-02-03T18:37:44.373172,ity,0
cognition/src/language-io/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Language IO Boundary Module * * This module provides the TypeScript side of the Sterling Language IO boundary. * It constructs envelopes for Sterling to consume, extracts verbatim markers, * and handles Sterling responses. * * Key principle: TypeScript is an EVIDENCE EMITTER, not a semantic authority. * Sterling handles all semantic interpretation. * * @author @darianrosebrook",,,111,3615,2026-02-04T08:48:58.528092,ity,0
cognition/src/language-io/marker-extractor.ts,marker-extractor.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides verbatim extraction of [GOAL:...] markers from text as part of the conscious-bot cognition module. Returns markers with exact spans and type. Does not interpret or normalize markers—raw extraction only.,,"extractVerbatimMarkers, countGoalTags, hasGoalTag",69,2040,2026-02-03T18:33:56.760681,@darianrosebrook,0
cognition/src/language-io/reducer-result-types.ts,reducer-result-types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides type-safety for committed goal, execution status, and optional advisory routing hints without exposing semantic details.",,"isValidReducerResponse, parseReducerResult",169,5519,2026-02-03T18:37:30.137416,@darianrosebrook,0
cognition/src/language-io/sanitization-pipeline.ts,sanitization-pipeline.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Versioned sanitization pipeline for Language IO envelopes. * * This is a DETERMINISTIC, VERSIONED evidence transform - it produces * another observational surface, not canonical meaning. * * The sanitization pipeline removes LLM artifacts (code fences, degeneration, * etc.) while preserving the semantic content for Sterling to interpret.",,"sanitize, stripCodeFences, stripThinkingBlocks, truncateDegeneration, normalizeWhitespace",166,5022,2026-02-03T18:34:16.477386,ity,0
cognition/src/language-io/schema-compatibility.ts,schema-compatibility.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Schema version compatibility for Language IO boundary. * * TS must fail closed on unknown versions rather than * attempting ""best effort"" parsing. * * @author @darianrosebrook",SchemaVersionError,"validateEnvelopeVersion, validateReducerResultVersion, validateWorldSnapshotVersion, isVersionSupported",103,3636,2026-02-03T18:37:09.698259,@darianrosebrook,0
cognition/src/language-io/sterling-language-io-client.ts,sterling-language-io-client.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,required to convert LLM outputs into executable planning tasks via the LanguageIOEnvelope roundtrip interface,SterlingLanguageIOClient,"getDefaultLanguageIOClient, setDefaultLanguageIOClient",448,14306,2026-02-04T09:15:56.688331,,0
cognition/src/language-io/transport.ts,transport.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides a WebSocket adapter for sending and receiving LanguageIO protocol messages between the cognition module and external LLM systems. Implements the LanguageIOReduceResponse interface to strictly forward data without semantic interpretation. Enables the cognition layer to decouple communication from actual LLM integration for flexible testing and mock scenarios.,"SterlingTransportAdapter, MockLanguageIOTransport","getDefaultTransport, setDefaultTransport",288,8851,2026-02-04T08:22:56.148422,ity,0
cognition/src/llm-output-sanitizer.ts,llm-output-sanitizer.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,output sanitization transforms user LLM responses to deobfuscate and clean evidence before forwarding to Sterling for semantic analysis.,,"stripWrappingQuotes, stripCodeFences, stripSystemPromptLeaks, extractGoalTag, extractIntent",734,26995,2026-02-04T12:32:14.224712,ity,0
cognition/src/react-arbiter/ReActArbiter.ts,ReActArbiter.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* ReAct Arbiter - Implements reason↔act loop for grounded cognition * * Orchestrates a ReAct loop that interleaves short reasoning with single tool calls; * selects goals, decides next option/skill, reads environment feedback, and iterates. * * @author @darianrosebrook",ReActArbiter,,612,17575,2026-02-01T03:03:40.704288,@darianrosebrook,0
cognition/src/reasoning-surface/eligibility.ts,eligibility.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,only computes convertEligible using the current Sterling reduction provenance and checks for grounding validity before returning eligibility status,,"deriveEligibility, assertEligibilityInvariant",156,4729,2026-02-04T23:32:13.415891,@darianrosebrook,0
cognition/src/reasoning-surface/frame-renderer.ts,frame-renderer.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides a structured rendering of the current situation frame for the cognition module, filtering out any goals or actions.",,"renderSituationFrame, formatTimeOfDay, formatDelta, computeFrameDigest, thoughtContextToFrameContext",475,14028,2026-02-03T04:51:48.445673,@darianrosebrook,0
cognition/src/reasoning-surface/grounder.ts,grounder.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,* Goal Grounder — Sterling-Owned Semantic Boundary * * MIGRATION (PR4): Grounding is now Sterling-owned.,,"isReductionProvenance, groundGoal, createGroundingContext",196,6288,2026-02-04T23:32:13.416233,,0
cognition/src/reasoning-surface/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Reasoning Surface — Production API Boundary * * This module is the canonical boundary for thought processing logic. * Both production code and eval harness import from here, ensuring * they use identical code paths (LF-4).",,"computeEligibility, processLLMOutputAsync, handleFallbackResult, mapSterlingResultToPipelineResult, processLLMOutput",427,13762,2026-02-04T23:32:13.416673,ity,0
cognition/src/routes/cognitive-stream-routes.ts,cognitive-stream-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Cognitive stream routes: lifecycle events, thought acking, task review, * recent thoughts, mark processed, and SSE streaming. * * Supports eval isolation via evalRunId filtering (AC-ISO-01, AC-ISO-02, AC-ISO-03).",,"pruneThoughtQueue, broadcastThought, createCognitiveStreamRoutes",507,18806,2026-02-04T13:21:04.748502,,0
cognition/src/routes/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,* Routes barrel export.,,,27,1017,2026-02-02T15:08:29.462642,,0
cognition/src/routes/process-routes.ts,process-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides the /process endpoint for the conscious-bot cognition module, handling intrusion detection and route-specific payloads for environmental_awareness, social_interaction, and external_chat. Implements filtering to prevent setting convertEligible: true in route handlers, ensuring safe operation. Enforces LF-2 conformance by delegating eligibility decisions to the thought-generation pipeline.",,createProcessRoutes,857,32239,2026-02-03T05:53:23.522361,,0
cognition/src/routes/reasoning-routes.ts,reasoning-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Input context is parsed and processed by the ReActArbiter to generate a reasoning step, which is returned to the client alongside the current state and timestamp. Handles ReAct-style interaction, extracting intent from inputs and integrating tools like inventory and goal stack manipulation. Provides robust error handling and clear JSON responses for step execution in the cognitive stream.",,createReasoningRoutes,135,3809,2026-02-02T15:05:26.409649,,0
cognition/src/routes/reflection-generation-contract.ts,reflection-generation-contract.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,", the reflection generation contract defines the interface for capturing and processing player reflections via LLM integration in the cognition module, ensuring deterministic keys and structure while delegating text generation to the LLM and persisting results through the memory module.",,,247,9704,2026-02-02T20:19:43.088507,,1
cognition/src/routes/social-memory-routes.ts,social-memory-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Social memory routes: entity retrieval, search, stats, fact recording.",,createSocialMemoryRoutes,144,4252,2026-02-02T15:08:26.564554,,0
cognition/src/routes/social-routes.ts,social-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Social routes: social consideration, nearby entities, chat consideration, * departure communication, social cognition processing.",,createSocialRoutes,346,11165,2026-02-02T15:06:43.767714,,0
cognition/src/routes/system-routes.ts,system-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides system-level control for thought generation in the conscious-bot cognition module. Implements start, stop, and readiness status endpoints for controlling LLM-based intent extraction and cognitive stream initialization. Exposes REST routes to safely enable/disable text-to-speech and check operational status.",,createSystemRoutes,110,3001,2026-02-02T15:37:22.974428,,0
cognition/src/routes/telemetry-routes.ts,telemetry-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides telemetry-related endpoints for the cognitive module, enabling monitoring of system stress, spawn position, and network activity for the conscious-bot's thought processes.",,createTelemetryRoutes,204,7017,2026-02-02T15:05:13.302088,,0
cognition/src/routes/thought-routes.ts,thought-routes.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides endpoints for retrieving the bot's recent thoughts via the cognitive stream, using a filtered and sorted list of thoughts from internal and external sources, and returns paginated results with timestamp metadata.",,createThoughtRoutes,165,5372,2026-02-03T05:54:03.420234,,0
